brand,catalog_id,path
GUCCI,81919,catalog_images\GUCCI\81919\catalog_81919.zip
GUCCI,81834,catalog_images\GUCCI\81834\catalog_81834.zip
GUCCI,81743,catalog_images\GUCCI\81743\catalog_81743.zip
GUCCI,81726,catalog_images\GUCCI\81726\catalog_81726.zip
GUCCI,81659,catalog_images\GUCCI\81659\catalog_81659.zip
GUCCI,81494,catalog_images\GUCCI\81494\catalog_81494.zip
GUCCI,81068,catalog_images\GUCCI\81068\catalog_81068.zip
GUCCI,81009,catalog_images\GUCCI\81009\catalog_81009.zip
GUCCI,80955,catalog_images\GUCCI\80955\catalog_80955.zip
GUCCI,80925,catalog_images\GUCCI\80925\catalog_80925.zip
GUCCI,80911,catalog_images\GUCCI\80911\catalog_80911.zip
GUCCI,80910,catalog_images\GUCCI\80910\catalog_80910.zip
GUCCI,80895,catalog_images\GUCCI\80895\catalog_80895.zip
GUCCI,80894,catalog_images\GUCCI\80894\catalog_80894.zip
GUCCI,80877,catalog_images\GUCCI\80877\catalog_80877.zip
GUCCI,80875,catalog_images\GUCCI\80875\catalog_80875.zip
GUCCI,80872,catalog_images\GUCCI\80872\catalog_80872.zip
GUCCI,80867,catalog_images\GUCCI\80867\catalog_80867.zip
GUCCI,80866,catalog_images\GUCCI\80866\catalog_80866.zip
GUCCI,80865,catalog_images\GUCCI\80865\catalog_80865.zip
PRADA,81911,catalog_images\PRADA\81911\catalog_81911.zip
PRADA,81894,catalog_images\PRADA\81894\catalog_81894.zip
PRADA,81886,catalog_images\PRADA\81886\catalog_81886.zip
PRADA,81882,catalog_images\PRADA\81882\catalog_81882.zip
PRADA,81873,catalog_images\PRADA\81873\catalog_81873.zip
PRADA,81866,catalog_images\PRADA\81866\catalog_81866.zip
PRADA,81856,catalog_images\PRADA\81856\catalog_81856.zip
PRADA,81847,catalog_images\PRADA\81847\catalog_81847.zip
PRADA,81757,catalog_images\PRADA\81757\catalog_81757.zip
PRADA,81732,catalog_images\PRADA\81732\catalog_81732.zip
PRADA,81700,catalog_images\PRADA\81700\catalog_81700.zip
PRADA,81697,catalog_images\PRADA\81697\catalog_81697.zip
PRADA,81689,catalog_images\PRADA\81689\catalog_81689.zip
PRADA,81687,catalog_images\PRADA\81687\catalog_81687.zip
PRADA,81672,catalog_images\PRADA\81672\catalog_81672.zip
PRADA,81669,catalog_images\PRADA\81669\catalog_81669.zip
PRADA,81638,catalog_images\PRADA\81638\catalog_81638.zip
PRADA,81620,catalog_images\PRADA\81620\catalog_81620.zip
PRADA,81543,catalog_images\PRADA\81543\catalog_81543.zip
PRADA,81540,catalog_images\PRADA\81540\catalog_81540.zip
